"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"d:\GameboyAdvanced\Cargo.lock", "TOML", 0, 4, 2, 2, 8
"d:\GameboyAdvanced\Cargo.toml", "TOML", 0, 5, 1, 3, 9
"d:\GameboyAdvanced\src\cpu\decode.rs", "Rust", 154, 0, 10, 23, 187
"d:\GameboyAdvanced\src\cpu\execute_arm.rs", "Rust", 474, 0, 32, 90, 596
"d:\GameboyAdvanced\src\cpu\execute_thumb.rs", "Rust", 388, 0, 7, 78, 473
"d:\GameboyAdvanced\src\cpu\mod.rs", "Rust", 57, 0, 10, 4, 71
"d:\GameboyAdvanced\src\cpu\registers.rs", "Rust", 230, 0, 5, 9, 244
"d:\GameboyAdvanced\src\main.rs", "Rust", 51, 0, 6, 13, 70
"d:\GameboyAdvanced\src\memory.rs", "Rust", 141, 0, 14, 23, 178
"d:\GameboyAdvanced\src\ppu.rs", "Rust", 5, 0, 0, 2, 7
"Total", "-", 1500, 9, 87, 247, 1843